ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Base Category (if secondary)-B,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Formative/component occurs in what component(s)-C,Formative/component occurs in what component(s)-D,Contains component (enter)-A,Contains component (enter)-B,Contains component (enter)-C,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
510,Bloomfield,LB1958,"0096,0104,0123",ojg,,east2542,-a·cit,OJ:1,,,,,,narrate ,narrate,final,TI,,,,,,-a·cimo,,-a·cim,,,,,,,,,,,,,,,,-t,,,-a·t,,,,,,"Andrew Medler, Walpole Island",GVM
718,Bloomfield,LB1958,"0114,0126",ojg,,east2542,-a·kam,OJ:1,,,,,,NG,,medial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andrew Medler, Walpole Island",GVM
952,Bloomfield,LB1958,0126,ojg,,east2542,-a·kam,OJ:1,,,,,,NG,,premedial,,,,,,,,,,,,,,,,,,,,,-a·kami·nkw,,,,,,,,,,,"""medial as premedial""",,"Andrew Medler, Walpole Island",GVM
472,Bloomfield,LB1958,0092,ojg,,east2542,-a·kami,OJ:1,,,,,,liquid,liquid,final,II,,,,,,,,,,,,,,,,,,,,,,,,-kam,-i,,,,,,,,"Andrew Medler, Walpole Island",GVM
720,Bloomfield,LB1958,"0114,0126",ojg,,east2542,-a·kami·nkw,OJ:1,,,,,,"face, eye",,medial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,-a·kam,,,,,,"Andrew Medler, Walpole Island",GVM
251,Bloomfield,LB1958,0081,ojg,,east2542,-a·kami·nkwe·,OJ:1,,,,,,pupil of eye,,final,AI ,,,,,,,,,,,,,,,,,,,,,,,,-a·kam·yi·nkw·,-e·,,,,,,,,"Andrew Medler, Walpole Island",GVM
252,Bloomfield,LB1958,0081,ojg,,east2542,-a·kami·yi·nkw,OJ:1,,,,,,NG,,medial,,,,,,,,,,,,,,,,,,,,,-a·kami·nkwe·,,,,,,,,,,,,,"Andrew Medler, Walpole Island",GVM
44,Bloomfield,LB1958,"0067,0126",ojg,,east2542,-a·kan,OJ:1,,,,,,NG,,final,N,,,B,TA,TI,,,,,,,,,,,,,,,,,,,-kan,,a·,-a·,,,,,,"Andrew Medler, Walpole Island",GVM
676,Bloomfield,LB1958,0110,ojg,,east2542,-a·kk,OJ:1,,,,,,hundred,hundred,final,PART,,,,,,,,,,,,,,,,,,,,,,,,-a·kkw,-∅,,,,,,,,"Andrew Medler, Walpole Island",GVM
605,Bloomfield,LB1958,"0103,0122",ojg,,east2542,-a·kka,OJ:1,,,,,,burn,burn,prefinal,,,,,,,,,,,,,,,,,,,,,-a·kkas,,,,,,,,,,,,,"Andrew Medler, Walpole Island",GVM
603,Bloomfield,LB1958,"0103,0122",ojg,,east2542,-a·kkas,OJ:1,,,,,,burn,,final,TI ,,,,,,,,-a·kkasw,,,,,,,,,,,,,,,,-is,,,-a·kka,,,,,,"Andrew Medler, Walpole Island",GVM
604,Bloomfield,LB1958,0103,ojg,,east2542,-a·kkasw,OJ:1,,,,,,burn ,burn,final,TA,,,,,,,,,-a·kkas,,,,,,,,,,,,,,,,,,,,,,"""TA presumably -a·kkasw""",,"Andrew Medler, Walpole Island",GVM
722,Bloomfield,LB1958,"0114,0126",ojg,,east2542,-a·kkokan,OJ:1,,,,,,NG,,medial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,-a·kkw,,,,,,"Andrew Medler, Walpole Island",GVM
