Component ID,Author Surname,Source Code,Page # ,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Base Category (if secondary)-B,Base Category (if secondary)-C,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Condition-B,Allomorph-C,Condition-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Contains component (enter)-A,Contains component (enter)-B,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
977,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-asinah-,,,,"mark, write",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,/masin-/  + /-ah-/,,,MAM
980,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-htâ,,,,NG,,final,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
981,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-i,,,,NG,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
982,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-ikah,,,,NG,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
983,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-iso,,,,NG,,final,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
984,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,-n,,,,"instrument, product",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
985,Arppe et al.,AA_ET_AL2019,0010,crk,,plai1258,,C-P:1,,-n,,,,by hand,,final,TA,,,,,,,,,,,,,,,,,nîhciwêpin-,,,V,TA,"s/he throws s.o down, off",,AA_ET_AL2019;0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
986,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,-stamaw,,,,NG,,final,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
987,Arppe et al.,AA_ET_AL2019,"0004,0005",crk,,plai1258,,C-P:1,,-win,,,,NG,,final,N,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
1000,Arppe et al.,AA_ET_AL2019,0003,crk,,plai1258,,C-P:1,,âw-,,,,carry,,initial,,,,,,,,,,,,,,,,,,âwacikê-,,,V,AI,haul things,,AA_ET_AL2019;0003,âwah-,,,V,TA,haul s.o.,,,AA_ET_AL2019;0003,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
1001,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,ayam-,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
1002,Arppe et al.,AA_ET_AL2019,0003,crk,,plai1258,,C-P:1,,âyît-,,,,"firm, tight",,initial,,,,,,,,,,,,,,,,,,âyîtina-,,,V,TI,hold firmly to s.t.,,AA_ET_AL2019;0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
1007,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,masin-,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,/masin-/-ah-/,V,TI,NG,,AA_ET_AL2019;0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"probably means 'mark, write'",,MAM
1008,Arppe et al.,AA_ET_AL2019,0005,crk,,plai1258,,C-P:1,,matwê-,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
1009,Arppe et al.,AA_ET_AL2019,0010,crk,,plai1258,,C-P:1,,nîht-,,,,down,,initial,,,,,,,,,,,,,,,,,,nîhciwêpin-,,,V,TA,"s/he throws s.o down, off",,AA_ET_AL2019;0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
1010,Arppe et al.,AA_ET_AL2019,0004,crk,,plai1258,,C-P:1,,pâhpih-,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,probably mean 'laugh',,MAM
