ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
19,Goddard,IG1990a,0456,sac,,mesk1242,mi·hk-,ME:2,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
20,Goddard,IG1990a,0456,sac,,mesk1242,-em-,ME:2,,,,,,NG,,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
21,Goddard,IG1990a,0456,sac,,mesk1242,mi·hkem-,ME:2,,,,,,NG,,initial,,,,,,,,,,,,mi·hkem-ehkwe·w-e·,,,V,AI,be courting,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,mi·hk-em- 'court (TA)',,,,MAM
22,Goddard,IG1990a,0456,sac,,mesk1242,-ehkwe·w-,ME:2,,,,,,woman,woman,medial,,,,,,,,,,,,mi·hkem-ehkwe·w-e·,,,V,AI,be courting,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
23,Goddard,IG1990a,0456,sac,,mesk1242,pye·t-,ME:2,,,,,,bring; hither,"bring, hither",initial,,,,,,,,,,,,pye·t-ehkwe·w-e·,,,V,AI,bring home a wife,,IG1990a;0456,pye·t-a·mo-,,,V,AI,flee in this direction,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,Y,pye·t- 'bring (inan.) (TI2)',,,,MAM
24,Goddard,IG1990a,0456,sac,,mesk1242,-a·mo-,ME:2,,,,,,(anim.) flees,flee,final,AI,,,,,,,,,,,pye·t-a·mo-,,,V,AI,flee in this direction,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
25,Goddard,IG1990a,0456,sac,,mesk1242,nemat-,ME:2,,,,,,NG,,initial,,,,,,,,,,,,nemat-api-,,,V,AI,sit upright,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,nemat- 'sit (inan.) upright (TI2)',initial probably means 'sit',,,MAM
26,Goddard,IG1990a,0456,sac,,mesk1242,-api-,ME:2,,-api-,,,,(anim.) sits,sit,final,AI,,,,,,,,,,,nemat-api-,,,V,AI,sit upright,,IG1990a;0456,atame·w-api-,,,V,AI,smoke sitting,,IG1990a;0457,masa·n-ika·-api-,V,AI,foot fall asleep as one sits,,IG1990a;0465,,,,,,,,,,,,,,,,,,,MAM
27,Goddard,IG1990a,0456,sac,,mesk1242,na·kataw-,ME:2,,,,,,NG,,initial,,,,,,,,,,,,na·kataw-e·nem-,,,V,TA,keep him/her in mind,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,na·kat- 'follow (inan.) (TI1)',,,,MAM
28,Goddard,IG1990a,"0456,0457,0465",sac,,mesk1242,-e·nem-,ME:2,,-e·nem-,,,,think about (anim.),think (about),final,TA,,,,,,,,,,,,,ki·ke·nowe·nem-,V,TA,think s/he is finished with a clan feast,,IG1990a;0480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
