ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
55,Valentine,RV2002,0109,,oji,ojib1241,-iingw-,OJ:3,,,,,,eye,,medial
56,Valentine,RV2002,0097,,oji,ojib1241,-ikomaan,OJ:3,,,,,,NG,,final,N
58,Valentine,RV2002,0099,,oji,ojib1241,-izi,OJ:3,,,,,,NG,,final,AI
59,Valentine,RV2002,0086,,oji,ojib1241,-jaab-,OJ:3,,,,,,eye,,medial
60,Valentine,RV2002,0109,,oji,ojib1241,-jaab-,OJ:3,,,,,,face,,medial
61,Valentine,RV2002,0110,,oji,ojib1241,-jaan-,OJ:3,,,,,,nose,,medial
63,Valentine,RV2002,0096,,oji,ojib1241,-kawe,OJ:3,,,,,,movement in such a way as to make tracks,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,from Rhodes 1985:239
64,Valentine,RV2002,0110,,oji,ojib1241,-kw-,OJ:3,,,,,,head,,medial
66,Valentine,RV2002,0110,,oji,ojib1241,-misad-,OJ:3,,,,,,stomach,,medial
67,Valentine,RV2002,0110,,oji,ojib1241,-ndib-,OJ:3,,,,,,head,,medial
68,Valentine,RV2002,0116,,oji,ojib1241,-ngwashi,OJ:3,,,,,,sleep,,final,unk.,,,,,,,,,,,,,,,,,,,,,,,,general ojibwe
69,Valentine,RV2002,0098,,oji,ojib1241,-ni,OJ:3,,,,,,self-initiated body movement,,final,AI
71,Valentine,RV2002,0090,,oji,ojib1241,-nik-,OJ:3,,,,,,arm,,medial
72,Valentine,RV2002,0086,,oji,ojib1241,-ninjy-,OJ:3,,,,,,hand,,medial
73,Valentine,RV2002,0109,,oji,ojib1241,-ninjy-,OJ:3,,,,,,"hand, finger",,medial
76,Valentine,RV2002,0099,,oji,ojib1241,-se,OJ:3,,,,,,NG,,final,unk.
77,Valentine,RV2002,0109,,oji,ojib1241,-sh-,OJ:3,,,,,,ear,,medial
78,Valentine,RV2002,0110,,oji,ojib1241,-shangwan-,OJ:3,,,,,,nose,,medial
79,Valentine,RV2002,0099,,oji,ojib1241,-shin,OJ:3,,,,,,NG,,final,unk.
82,Valentine,RV2002,0110,,oji,ojib1241,-shkanzhy-,OJ:3,,,,,,nail,,medial
83,Valentine,RV2002,0109,,oji,ojib1241,-shkiinzhigw-,OJ:3,,,,,,eye,,medial
84,Valentine,RV2002,0110,,oji,ojib1241,-shtigwaan-,OJ:3,,,,,,hair,,medial
85,Valentine,RV2002,0110,,oji,ojib1241,-skatigw-,OJ:3,,,,,,forehead,,medial
86,Valentine,RV2002,0098,,oji,ojib1241,-taa,OJ:3,,,,,,self-initiated body movement,,final,AI
87,Valentine,RV2002,0109,,oji,ojib1241,-tawag-,OJ:3,,,,,,ear,,medial
88,Valentine,RV2002,0109,,oji,ojib1241,-toog-,OJ:3,,,,,,ear,,medial
93,Valentine,RV2002,0110,,oji,ojib1241,-zhag-,OJ:3,,,,,,skin,,medial
94,Valentine,RV2002,0110,,oji,ojib1241,-zhagay-,OJ:3,,,,,,skin,,medial
95,Valentine,RV2002,0085,,oji,ojib1241,-zid-,OJ:3,,,,,,foot,,medial
96,Valentine,RV2002,0100,,oji,ojib1241,agaach-,OJ:3,,,,,,small,,initial
97,Valentine,RV2002,0089,,oji,ojib1241,agaas-,OJ:3,,,,,,small,,initial
98,Valentine,RV2002,0100,,oji,ojib1241,aniibiiw-,OJ:3,,,,,,green,,initial
99,Valentine,RV2002,0106,,oji,ojib1241,apiich-,OJ:3,,,,,,to such extent (distance),,initial,RR
100,Valentine,RV2002,0106,,oji,ojib1241,apiis-,OJ:3,,,,,,to such extent (distance along),,initial,RR,,,,,,,,,,,,,,,,,,,,,,,,general ojibwe
101,Valentine,RV2002,0106,,oji,ojib1241,apiit-,OJ:3,,,,,,to such extent (height),,initial,RR
