Components ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
26,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",ɩsw-,C-M:1,,,,,,by heat,,final,TA,,,,,,,,ɩs-,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Ellis,CDE2000,168,"crm, csw",,"moos1236, swam1239",ɩto,C-M:1,,,,,,reciprocal,,final,TA,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 7: <ɩ> used when suffix introduced in grammar section; <i> used elsewhere. ""... has to do with certain very old sound changes that still affect the form of modern Cree.""",,,
28,Ellis,CDE2000,200,"crm, csw",,"moos1236, swam1239",kanaw,C-M:1,,,,,,"focus on, retain",,initial,,,,,,,,,,,,kanawâpaht-,,,V,TI,NG,,,,,,,,,,,,,,,,stem source not checked - no pdf,,,
29,Ellis,CDE2000,250,"crm, csw",,"moos1236, swam1239",kê-,C-M:1,,,,,,doing things generally,,final,AI,,,Y,TI,,,,,,,pâskisikê-,,,V,AI,shoot things generally,,,,,,,,,,,,,,,,stem source not checked - no pdf,,,
30,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",kîhkâ,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",kiš,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",kitot,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",koc,C-M:1,,,,,,try,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",m-,C-M:1,,,,,,by speech or perception,,final,TA,,,,,,,,ht-,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Ellis,CDE2000,332,"crm, csw",,"moos1236, swam1239",m-,C-M:1,,,,,,NG,,final,TA,,,Y,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goes with ""prefix"" wîci 'together with' - creates comitative",,,
36,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",milâ,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Ellis,CDE2000,249,"crm, csw",,"moos1236, swam1239",milo,C-M:1,,,,,,"good, fine",,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ellis,CDE2000,247,"crm, csw",,"moos1236, swam1239",nah,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",naka,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Ellis,CDE2000,249,"crm, csw",,"moos1236, swam1239","nân'taw, nanâtaw",C-M:1,,,,,,"tend to, seek to",,initial,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ellis,CDE2000,200,"crm, csw",,"moos1236, swam1239",nataw,C-M:1,,,,,,"tend to, seek to",,initial,,,,,,,,,,,,natawâpaht-,,,V,TI,NG,,,,,,,,,,,,,,,,stem source not checked - no pdf,,,
42,Ellis,CDE2000,248,"crm, csw",,"moos1236, swam1239",oši,C-M:1,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
