Component ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
26,Junker,MOJ2003b,0175,crj,,sout2978,Chisheinuw-,C-SE:2,,,,,,elder,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent; this is called a ""nominal root,"" but I'm unclear whether it's an actual initial. It does contrast with the complete noun Chisheinuu 'an elder'."
3,Junker,MOJ2003b,0175,crj,,sout2978,Wep-,C-SE:2,,,,,,sweep/away,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial"
57,Junker,MOJ2003b,0176,crj,,sout2978,-uw-,C-SE:2,,,,,,applicative,,final,TA
23,Junker,MOJ2003b,0176,crj,,sout2978,-kan,C-SE:2,,,,,,NG,,final,N
38,Junker,MOJ2003b,0176,crj,,sout2978,-che-,C-SE:2,,,,,,regular activity,,final,AI
43,Junker,MOJ2003b,0176,crj,,sout2978,Kakwet-,C-SE:2,,,,,,test,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial"
24,Junker,MOJ2003b,0176,crj,,sout2978,Kwesch-,C-SE:2,,,,,,turn,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph"
18,Junker,MOJ2003b,0176,crj,,sout2978,Puun-,C-SE:2,,,,,,stop,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph"
49,Junker,MOJ2003b,0176,crj,,sout2978,Kaw-,C-SE:2,,,,,,down,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph; first given as idea of downward movement, but given as ""down"" in gloss"
15,Junker,MOJ2003b,0177,crj,,sout2978,waaskam-,C-SE:2,,,,,,clear,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: First given as ""used for physical perception,"" but in gloss given as ""clear"""
44,Junker,MOJ2003b,0177,crj,,sout2978,Yaait-,C-SE:2,,,,,,firm,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph"
36,Junker,MOJ2003b,0177,crj,,sout2978,Wan-,C-SE:2,,,,,,wrong,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph"
29,Junker,MOJ2003b,0177,crj,,sout2978,Kachetaaw-,C-SE:2,,,,,,skillful,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph"
32,Junker,MOJ2003b,0178,crj,,sout2978,Kuitu-,C-SE:2,,,,,,uncertain,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph"
37,Junker,MOJ2003b,0178,crj,,sout2978,Chiishkwey-,C-SE:2,,,,,,confuse,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph"
41,Junker,MOJ2003b,0179,crj,,sout2978,Mamach-,C-SE:2,,,,,,jealous,,initial,,Y
30,Junker,MOJ2003b,0179,crj,,sout2978,maay-,C-SE:2,,,,,,"found in words for evil things, beings, concepts, or actions",,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Referred to as ""initial component"""
53,Junker,MOJ2003b,0179,crj,,sout2978,Kushkw-,C-SE:2,,,,,,startle,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial"
51,Junker,MOJ2003b,0179,crj,,sout2978,Mushten-,C-SE:2,,,,,,attract,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial"
40,Junker,MOJ2003b,0181,crj,,sout2978,Chisch-,C-SE:2,,,,,,know,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, described as ""initial component"" in preceding paragraph"
12,Junker,MOJ2003b,0182,crj,,sout2978,Kaahkw-,C-SE:2,,,,,,porcupine,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial; used here to represent jealousy"
39,Junker,MOJ2003b,0182,crj,,sout2978,Miy-,C-SE:2,,,,,,good,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial; probably an allomorph of Miy- but no conditions given"
50,Junker,MOJ2003b,0182,crj,,sout2978,Muuchich-,C-SE:2,,,,,,joy,,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Capitalization is consistent, unclear whether it's an actual initial"
