ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Formative/component occurs in what component(s)-C,Contains component (enter)-A,Contains component (enter)-B,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
442,Voorhis,PV1988,0153,kic,,kick1244,-ikan-,KP:1,,,,,,…-er (instrumental),,final,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
443,Voorhis,PV1988,0153,kic,,kick1244,-ikan-,KP:1,,,,,,…-er (instrumental),,final,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
587,Voorhis,PV1988,0156,kic,,kick1244,-n-,KP:1,,,,,,…-er (instrumental),,final,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
588,Voorhis,PV1988,0156,kic,,kick1244,-n-,KP:1,,,,,,…-er (instrumental),,final,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
255,Voorhis,PV1988,0150,kic,,kick1244,-en-,KP:1,,,,,,…-ing (action; object),PROGRESSIVE,final,NI
83,Voorhis,PV1988,0146,kic,,kick1244,-aapitaki-,KP:1,,,,,,"…-ty, so many times ten",QUANTITY,medial
9,Voorhis,PV1983,"0078,0079,0084",kic,,kick1244,-'í-,KP:1,,,,,,"...-y, covered or infested with ...","covered, infested",medial,,,,Y,N,,,,,,,manetooθeehíi-,,,V,AI,be buggy or wormy,Y,PV1983;0079,manetooθeehíi-,,,V,II,be buggy or wormy,Y,PV1983;0079,móecíi-,,,V,AI,be covered with dung = have dung on oneself,Y,PV1983;0084,okooníi-,,,V,AI,be covered with snow,Y,PV1983;0084
343,Voorhis,PV1988,0151,kic,,kick1244,-́í-,KP:1,,,,,,"…-y, covered with, infested with",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"can't reproduce original; has accent over first dash, then accent over <i>.",,,MAM
782,Voorhis,PV1988,0048,kic,,kick1244,kiip-,KP:1,,,,,,"(falling) down, (falling) over","fall down, fall over",initial,,,,,,,,,,,,kiipaaskaa-,,,V,II,fall over,,PV1988;0048,kiipataham-,,,V,TI,knock it down by hitting or striking it,,PV1988;0048,kiipenam-,,,V,TI,knock it over by hand,,PV1988;0048
422,Voorhis,PV1988,0028,kic,,kick1244,-iihtiiθ-,KP:1,,,,,,(male) friend,"friend, DEPENDENT",medial,AnimDep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
429,Voorhis,PV1988,0029,kic,,kick1244,-iineθ/s-,KP:1,,,,,,(single) hair (of the head),"hair, DEPENDENT",medial,InanDep
736,Goddard,IG1990a,0463,kic,,kick1244,inehp-,KP:2,,,,,,(so) high,"high, RELATIVE",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in-,inp-,,,,,,,MAM
733,Goddard,IG1990a,0463,kic,,kick1244,in-,KP:2,,eN-,,,,"(that) way, (so)","in that way, so, thither, thus, to there, RELATIVE",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inehp-,,,,,,,,,,,MAM
699,Voorhis,PV1988,0012,kic,,kick1244,akaasw-,KP:1,,,,,,"a little, a few ",,initial,,,,,,,,,,,,akaasoopi-,,,V,AI,be a few sitting,,PV1988;0012,akaaswihtoo-,,,V,TI,have a little or a few of it,,PV1988;0012
747,Voorhis,PV1988,0037,kic,,kick1244,kask-,KP:1,,,,,,able to,,initial,,,,,,,,,,,,kaskiai-,,,V,AI,be able,,PV1988;0037,kaskihtoo-,,,V,TI,"be able to make or do it, be able to fix or repair it",,PV1988;0037,kaskiihkam-,,,V,TI,"be able to do it, be able to handle or deal with it",,PV1988;0037
233,Voorhis,PV1988,0149,kic,,kick1244,-ehkee-,KP:1,,,,,,"acquire, gather, pick, harvest, hunt","acquire, gather, harvest, hunt, pick",final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
