Spreadsheet Name,∃,Display Name,Lg Abbrev,ISO,GC,Alternative Exonym(s),Autonym(s),Dialect(s),Notes
Abenaki,Y,Abenaki,AB,---,aben1250,Abnaki,,,[public] Used if Eastern or Western not specified
Abenaki_Eastern,Y,Eastern Abenaki,AB,aaq,east2544,Eastern Abnaki,Alənαpαtəwéwαkan,"Caniba
Penobscot: peno1243",[public] Autonym source: Wikipedia
Abenaki_Western,Y,Western Abenaki,AB,abe,west2630,Western Abnaki,Alnôbaôdwawôgan,,[public] Autonym source: Wikipedia
Albany River Ojibwe see Ojibwe_Albany_River
Algic,,Algic,ALC,---,algi1248,,,,[public] Algic language family
Algonquian,,Algonquian,ALQ,alg,algo1256,,,,"[public] Refers to ""Algonquian language family,"" if used generically (e.g. “In Algonquian languages…”); NOT the same as Algonquin or Proto-Algonquian"
Algonquian_Eastern,,Eastern Algonquian,,---,east2700,,,,[public] Used only if Proto-EA not specified
Algonquian_Eastern_Great_Lakes,,Eastern Great Lakes Algonquian,,---,east2765,,,,[public] Subfamily; not a commonly used designation
Algonquian_Southern_New_England,,Southern New England Algonquian,,---,sout3237,,,,[public] Subfamily; not a commonly used designation
Algonquin see Ojibwe_Algonquin
Arapaho,Y,Arapaho,AR,arp,arap1274,,Hinónoʼeitíít,,"[public] GL lists under Arapaho-Gros Ventre-Besawunena, [public] Autonym source: Wikipedia"
Arapaho-Gros Ventre-Besawunena,,Arapaho-Gros Ventre-Besawunena,AR,---,arap1280,,,,[public] Arapaho and Gros Ventre have their own codes; Besawunena does not; GL lists under Arapahoic
Arapahoic,,Arapahoic,,---,arap1273,,,,[private] GL has this w/ Arapaho-Gros Ventre-Besawunena and Nawathinehena under it; we are unlikely to use it.
Atikamekw see Cree_Atikamekw
Atsina see Gros Ventre
Beothuk,,Beothuk,,bue,beot1247
Berens River Ojibwe see Ojibwe_Berens_River
Besawunena see Arapaho-Gros Ventre-Besawunena
Betsiamites see Cree_Innu_Southern
Big Trout Lake Severn Ojibwe see Ojibwe_Big_Trout_Lake_Severn
Blackfoot,Y,Blackfoot,BF,bla,siks1238,Siksika; Blackfeet (in the U.S.),Niitsi'powahsin,,"[public] David Costa's publications call it ""Miami-Illinois."" GL just calls it ""Miami."", Autonym source: Wikipedia."
Blood,,Blood,BF,---,bloo1239,,,,[public] GL: dialect of Siksika (Blackfoot)
Border Lakes Ojibwe see Ojibwe_Border_Lakes
Caniba see Abenaki_Eastern
Carolina_Algonquian,,Carolina Algonquian,,crr,caro1243,,,,[public] GL treats this and Pamlico as the same; but have different ISO codes
Central Eastern Southwestern Ojibwe see Ojibwe_Central_Eastern_Southwestern
Central Minnesota Chippewa see Ojibwe_Central_Minnesota_Chippewa
Central Ojibwe see Ojibwe_Central
Cheyenne,Y,Cheyenne,CH,chy,chey1247,,Tsėhesenėstsestotse,,[public] Autonym source: Wikipedia
Chippewa see Ojibwe_Chippewa
Cowesit see Wampanoag
Cree_Common,,Common Cree,C,cre,cree1272,,,,[public] Used only if dialect unspecified
Cree_Atikamekw,Y,Atikamekw,C-A,atj,atik1240,,nehirâmowin,,"[public] Autonym source: Wikipedia (has tag ""citation needed"")"
Cree East(ern) see Cree_Southern_East or Cree_Northern_East,,,,,,,,,"[public] If used without designation of S or N, see Cree East"
Cree_East,Y,East Cree,C-E,---,---,,,,[public] Used only if S or N East Cree not specified
Cree_Innu,Y,Innu,C-I,moe,mont1268,"Innu-Aimun, Montagnais",Innu-Aimun
Cree_Innu_Central,,Central Innu,C-I,---,---,,,,[public] Central dialect of Innu (Montagnais)
Cree_Innu_East,,East Innu,C-I,---,east2540,Eastern Montagnais
Cree_Innu_Southern,,Southern Innu,C-I,---,---
Cree_Innu_West,,West Innu,C-I,---,west2627,Western Montagnais
Cree_Montagnais_Naskapi,,Montagnais-Naskapi,C,---,cree1271,,,,[public] Only used if treated as a group
Cree_Moose,,Moose Cree,C,crm,moos1236,,"ililîmowin, ᐃᓕᓖᒧᐎᓐ ",,"[public] L-dialect; mutually intelligible with Swampy Cree (west coast of James Bay), [public] Autonym source: Wikipedia"
Cree_Moose_Swampy,Y,Moose-Swampy Cree,C,---,---,,,,[public] Used only if both described together
Cree_Naskapi,,Naskapi,C-N,nsk,nask1242,,,,[public] Used only if E or W Naskapi not specified
Cree_Naskapi_Eastern,,Eastern Naskapi,C-N,---,east2539
Cree_Naskapi_Western,Y,Western Naskapi,C-N,---,west2626
Cree_Northern,,Northern Cree,C,---,---
