Project Orthography,AB:1,AB:2,AR:1,AR:2,BF:1,BF:2,C-A:1,C-A:2,C-E:1,C-I:1,C-I:2,C-I:3,C-I:Standard,C-I:Revised,C-M:1,C-N:1,C-N:2,C-NE:1,C-NE:2,C-P:1,C-P:2,C-P:3,C-P:4,C-P:5,C-P:6,C-SE:1,C-SE:2,CH:1,D-M:1,D-M:2,D-U:1,KP:1,KP:2,ME:1,ME:2,ME:3,ME:4,MK:F-S,MK:1,MN:1,MN:2,MN:3,MN:4,MN:5,MN:6,MN:WNALP,MY:Standard,MY:1,NR:1,OJ:1,OJ:2,OJ:3,OJ:4,OJ:5,OJ:6,OJ:7,OJ:8,OJ:9,OJ:10,OJ:11,P-M:1,P-M:2,P-M:3,PA:1,PA:2,PA:3,PA:4,PA:5,PA:6,PA:7,PCA:1,PCA:2,PEA:1,POT:WNALP,POT:1,POT:2,POT:3,POT:4,POT:5,SH:1,SH:2,WM:1,UNK [unknown]
ɔɔ,,,,,ao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,a,a,,,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,"a, A",a,a,a,a,a,a,a,a,a,a,a,a,a,"a, e",a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,,,,,,E,a,a,a,
aa,,,,,aa,,a:,aa,aa,â,a·,a·,,,â,aa,â,â,aa,â,ā,ā,a·,a·,ā,â,aa,,a·,ā,a·,aa,a·,ā,a·,"ā, â",a*,a',a',a·,a·,,ā,ā,ā,ā,aa,aa,ā,a·,a:,aa,aa,ā,a:,â,ā,ā,ā,aa,,,,aa,a·,a:,a:,a·,a·,ā,ā,a·,ā,a,a,a,"a, a/ε","a, a/ε",a,aa,a·,,
aaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
á,,,,,,,,,,,,,,,,,,,,,,,,,,,,á,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ȧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,ȧ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
α,α,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ɔ̃,,"ô, an̈",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,p,,,,p,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,b,p,p,p,p,"p, b",p,p,p,p,p,p,p,p,p,p,p,p,,p,,b,b,p,b,,b,b,b,b,p,p,p,p,p,p,p,p,p,p,p,p,p,b,b,b,p,p,p,p,p,,
p·,,,,,pp,,pp,hp,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,pp,,p,p,pp,p,,p,p,p,p,hp,hp,hp,,,,,,,,,,,p,p,p,p·,p·,p·,,,,
t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,d,t,,t,t,"t, d",t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,d,d,t,d,,d,d,d,d,t,t,t,t,t,t,t,t,t,t,t,t,t,d,d,d,t,t,t,,,,
t·,tt,,,,tt,,tt,ht,,tt,,,,,,,,,,,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,tt,,t,t,tt,t,t,t,t,t,t,ht,ht,ht,,,,,,,,,,,t,t,t,t·,t·,t·,t,t,t,
ts,,,,,ts,,,,,,ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t͡s·,,,,,ttss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,k,k,k,k,k,,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,g,k,k,"k, g",k,"k, g",k,k,g,k,k,,k,k,k,k,k,k,k,k,k,g,g,k,g,g,g,g,g,g,k,k,k,k,k,k,k,k,k,k,k,k,k,g,g,g,k,k,k,k,k,,
k·,kk,,,,kk,,kk,hk,,,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,kk,kk,k,k,kk,k,,k,k,k,k,hk,hk,hk,,,,,,,,,,,k,k,k,k·,k·,k·,,,,
ks,,,,,ks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k͡s·,,,,,kkss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kw,kʷ,,,,,,,,,,,,"kᵘ, ku, kʷ","kᵘ, ku, kʷ",,kʷ,kʷ,kw,kw,,,,,,,kw,kw,,,,,,,,,,,kw,kw,,,,,,,,,,,,,,,,gʷ,,,,,,kw,q,kʷ,,,,,,,,,,,,,,,,,,,,
k·w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kʷ,,,,,,,,,,,,,,,,,,,,,,,,kʷ,,,,,,hkw,hq,hkʷ,,,,,,,,,,,,,,,,,,,qu,
q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ʔ,,,',',',,,,,,,,,,,,,,,,,,,,,,,’,,,,,,,,,,,,q,ʔ,’,ʔ,ʔ,2,q,,,,ʔ,,’,ʔ,,,,,,,h,,,,,q,q,ʔ,’,ʔ,ʔ,’,ʔ,,’,’,ʔ,ʔ,ʔ,ʔ,,ʔ,,
b,,b,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,
gw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
č,č,,c,c,,,c,,ch,c,tsh,c,tsh,tsh,c,ch,ch,ch,ch,c,"c, ts",c,c,č,č,ch,ch,,,,č,c,,c,č,tc,ch,j,j,c,č,ts,ts,c,ts,c,c,č,,c,,j,j,c,j,,"tc, dj",j,ǰ,ch,c,c,c,č,č,č,č,č,č,č,tc,c,č,j,ǰ,j,č,č,č,c,č,,
č·,,,,,,,cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc,,ch,č,cc,c,,,č,č,,hc,hc,hc,,,,,,,,,,,ch,,č,č·,č·,č·,,,,
ǰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,,,,,,,,,,,,,,,,,,,,,,,
hč,,,,,,,,,,,,,ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ç,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ç,,,,,,,,,,,,,,
θ,,,"3, ɜ",θ,,,,,,,,,,,,,,,,,,,,,,,,,,,,θ,θ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θ,θ,θ,θ,θ,θ,θ,θ,θ,,,,,,,,θ,θ,,
θš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,θc,,,,,,,,,,,,
s,s,,s,s,s,s,s,s,s,,s,s,,,s,s,s,s,s,s,s,š,s,s,s,s,s,s,s,s,,s,s,s,s,s,s,s,s,s,s,,s,s,"s, c",s,s,s,,s,s,z,z,s,z,,z,z,z,,s,s,s,s,s,s,s,s,s,s,s,s,s,z,z,z,s,s,s,,,,
s·,ss,,,,ss,,ss,,,ss,,,ss,ss,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,ss,,s,s,ss,s,,s,s,s,,hs,hs,hs,,,,,,,,,,,s,s,s,s·,s·,s·,s,,,
š,sh,,,,,,s̀,,sh,š,š,š,sh,sh,š,sh,sh,sh,sh,,,,,,,sh,sh,š,š,,,,,,š,c,sh,,,,,,,,,,š,š,,š,š,zh,ž,š,ž,,ž,ž,ž,sh,,,,š,š,š,š,š,š,š,c,š,š,zh,zh,ž,š,š,š,,š,sh,
š·,,,,,,,s̀s̀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,šš,,sh,š,šš,š,,š,š,š,,,,,,,,,,,,,,,sh,sh,š,š·,š·,š·,,,,
v,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,x,x,h,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,q,q,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,
xw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qw,qw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,h,,h,h,,,h,h,h,h,,,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,"h, 'h, '",h,,,h,h,h,h,h,h,h,h,h,h,,,h,h,h,h,,,h,h,,h,h,h,,h,h,h,,h,h,h,h,h,h,h,,h,h,h,h,h,,
hw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hʷ,,,,,,,,,,
ð,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ž,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zh,,,,,,,,,,,,,,,,,,,,,,,
m,m,,,,m,,m,m,m,m,m,m,m,m,,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,,m,,m,m,m,m,,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,,
m·,,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m̩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m',m',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mw,,,,,,,,,,,,,,,,mʷ,mʷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,n,,n,n,n,,n,n,n,n,n,,n,n,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,"n, l",n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,n,n,n,n,n,n,n,n,n,n,"n, ñ",n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,
n·,,,,,nn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n̩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n',n',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ŋ,,,,,,,,,,,,,,,,,,,,ng,,,,,,,,
r,,,,,,,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,,,,,,,,,
l,l,l,,,,,,,,l,l,,n,ń,,,,,,,,,,,,,,,l,,l,,,,,,,l,l,,,,,,,,l,l,,,,,,,,,,,,,l,l,l,l,l,l,l,,l,l,l,l,,,,,,,,l,l,,
l̩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l',l',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,w,8,w,w,w,,w,w,w,w,w,w,,,w,w,w,w,w,w,w,w,w,w,w,w,w,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,w,w,w,w,w,w,,w,w,w,w,w,w,w,w,w,w,w,w,"w, #","w, #",w,w,w,,
ʷ,,,,,,,,,,ʷ,ù,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,,,y,y,y,y,y,,y,y,y,y,,,y,y,y,y,y,y,y,y,y,y,y,y,y,,,y,,y,y,y,y,y,y,y,y,y,y,,y,y,y,y,y,y,y,y,,y,y,y,y,,,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,"j, #","j, #",y,y,y,,
∅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,∅,,∅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-…-,,,,,,,,,,- -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"i, e, u, o, a, d, g, k, n, p, t, w"
Æ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,æ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a/ε,a/ε,a/e,,,,
ÆÆ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,æ·,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ɑ, E","ɑ, E",E,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,H,,,,,,,,,,,
HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HS,,,,,,,,,,,,,,,,
