ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
53,Costa,DJC2019,0007,mia,,miam1252,-aapii-,MY:Standard,,,,,,"rope, string(like)",,medial
54,Costa,DJC2019,0007,mia,,miam1252,-aapiik-,MY:Standard,,,,,,"rope, string(like)",,medial
55,Costa,DJC2019,0007,mia,,miam1252,-aapiikaa,MY:Standard,,,,,,"rope, string(like)","rope, string",final,II
56,Costa,DJC2019,0007,mia,,miam1252,-aapiikal,MY:Standard,,,,,,"rope, string(like)","rope, string",final,TA
57,Costa,DJC2019,0007,mia,,miam1252,-aapiikas,MY:Standard,,,,,,"rope, string(like)","rope, string",final,AI
58,Costa,DJC2019,0007,mia,,miam1252,-aapiikat,MY:Standard,,,,,,"rope, string(like)","rope, string",final,II
59,Costa,DJC2019,0007,mia,,miam1252,-aapiikatoo,MY:Standard,,,,,,"rope, string(like)","rope, string",final,TI
60,Costa,DJC2019,0007,mia,,miam1252,-aapiikis,MY:Standard,,,,,,"rope, string(like)","rope, string",final,AI
61,Costa,DJC2019,0007,mia,,miam1252,-aapiikw,MY:Standard,,,,,,"rope, string(like)","rope, string",final,N
62,Costa,DJC2019,0002,mia,,miam1252,-aapinti,MY:Standard,,,,,,bowstring,bowstring,final,AI
63,Costa,DJC2019,0002,mia,,miam1252,-aapinti,MY:Standard,,,,,,bowstring,bowstring,final,N
64,Costa,DJC2019,0009,mia,,miam1252,-aapitee,MY:Standard,,,,,,tooth,tooth,final,AI
65,Costa,DJC2019,0009,mia,,miam1253,-aapitee,MY:Standard,,,,,,tooth,tooth,final,II
66,Costa,DJC2019,0006,mia,,miam1252,-aapoo-,MY:Standard,,,,,,liquid,,medial
67,Costa,DJC2019,0006,mia,,miam1252,-aapow,MY:Standard,,,,,,liquid,liquid,final,N
68,Costa,DJC2019,0006,mia,,miam1252,-aapowee,MY:Standard,,,,,,liquid,liquid,final,AI
69,Costa,DJC2019,0006,mia,,miam1252,-aapowee,MY:Standard,,,,,,liquid,liquid,final,II
70,Costa,DJC2019,0006,mia,,miam1252,-aapowi,MY:Standard,,,,,,liquid,liquid,final,AI
71,Costa,DJC2019,0005,mia,,miam1252,-aatawee,MY:Standard,,,,,,language,language,final,AI
72,Costa,DJC2019,0005,mia,,miam1252,-aataweem,MY:Standard,,,,,,language,language,final,TA
73,Costa,DJC2019,0003,mia,,miam1252,-aci,MY:Standard,,,,,,"cold, by","cold, MANNER",final,AI
74,Costa,DJC2013,0200,mia,,miam1252,-ači,MY:1,,,,,,cold,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,HTL
75,Costa,DJC2019,0007,mia,,miam1252,-aciipihk,MY:Standard,,,,,,root,root,final,N
76,Costa,DJC2019,0005,mia,,miam1252,-aciw,MY:Standard,,,,,,hill,hill,final,N
77,Costa,DJC2019,0005,mia,,miam1252,-ah(w),MY:Standard,,,,,,"instrument, by",INSTRUMENT,final,TA
78,Costa,DJC2019,0005,mia,,miam1252,-aham,MY:Standard,,,,,,"instrument, by",INSTRUMENT,final,TI
79,Costa,DJC2019,0004,mia,,miam1252,-ahan,MY:Standard,,,,,,"float, be on water","float, on water",final,II
80,Costa,DJC2019,0005,mia,,miam1252,-ahiko,MY:Standard,,,,,,"instrument, by",INSTRUMENT,final,AI
81,Costa,DJC2019,0005,mia,,miam1252,-ahk,MY:Standard,,,,,,"land, field","field, land (N)",final,N
82,Costa,DJC2019,0005,mia,,miam1252,-ahki,MY:Standard,,,,,,"land, field","field, land (N)",final,II
83,Costa,DJC2019,0005,mia,,miam1252,-ahki-,MY:Standard,,,,,,"land, field",,medial
84,Costa,DJC2019,0005,mia,,miam1252,-ahkihkw,MY:Standard,,,,,,kettle,kettle,final,N
85,Costa,DJC2019,0007,mia,,miam1252,-ahkisin,MY:Standard,,,,,,shoe,,final,AI
86,Costa,DJC2019,0007,mia,,miam1252,-ahkisin,MY:Standard,,,,,,shoe,,final,N
87,Costa,DJC2019,0002,mia,,miam1252,-ahkolay,MY:Standard,,,,,,"clothing, robe","clothing, robe",final,N
88,Costa,DJC2019,0007,mia,,miam1252,-ahkompee,MY:Standard,,,,,,penis,penis,final,AI
89,Costa,DJC2019,0004,mia,,miam1252,-ahoko,MY:Standard,,,,,,"float, be on water","float, on water",final,AI
90,Costa,DJC2019,0004,mia,,miam1252,-ahol,MY:Standard,,,,,,"float, be on water","float, on water",final,TA
91,Costa,DJC2019,0009,mia,,miam1252,-ahol,MY:Standard,,,,,,tie,,final,TA
92,Costa,DJC2019,0009,mia,,miam1252,-ahosi,MY:Standard,,,,,,tie,,final,AI
93,Costa,DJC2019,0009,mia,,miam1252,-ahotee,MY:Standard,,,,,,tie,,final,II
94,Costa,DJC2019,0009,mia,,miam1252,-ahotoo,MY:Standard,,,,,,tie,,final,TI
95,Costa,DJC2019,0007,mia,,miam1252,-ahs,MY:Standard,,,,,,"put, place","place (V), put",final,TA
96,Costa,DJC2019,0003,mia,,miam1252,-ahsap,MY:Standard,,,,,,"cord, garter, net","cord, garter, net",final,N
97,Costa,DJC2019,0003,mia,,miam1252,-ahsapii,MY:Standard,,,,,,"cord, garter, net","cord, garter, net",final,II
98,Costa,DJC2019,0008,mia,,miam1252,-ahsen,MY:Standard,,,,,,stone,stone,final,II
99,Costa,DJC2019,0008,mia,,miam1252,-ahsen,MY:Standard,,,,,,stone,stone,final,N
100,Costa,DJC2019,0006,mia,,miam1252,-ahši,MY:Standard,,,,,,"load, carry","carry, load",final,AI
101,Costa,DJC2019,0006,mia,,miam1252,-ahših,MY:Standard,,,,,,"load, carry","carry, load",final,TA
102,Costa,DJC2019,0006,mia,,miam1252,-ahšihtoo,MY:Standard,,,,,,"load, carry","carry, load",final,TI
103,Costa,DJC2019,0001,mia,,miam1252,-ahsimw,MY:Standard,,,,,,animal,animal,final,N
104,Costa,DJC2019,0007,mia,,miam1252,-ahtee,MY:Standard,,,,,,shoot,,final,AI
105,Costa,DJC2019,0008,mia,,miam1252,-ahtee,MY:Standard,,,,,,spots,spot,final,II
106,Costa,DJC2019,0007,mia,,miam1252,-ahtoo,MY:Standard,,,,,,"put, place","place (V), put",final,TI
107,Costa,DJC2019,0009,mia,,miam1252,-ahw,MY:Standard,,,,,,tie,,final,TA
108,Costa,DJC2019,0004,mia,,miam1252,-ahwi,MY:Standard,,,,,,fly,fly (V),final,AI
109,Costa,DJC2019,0005,mia,,miam1252,-ahwi,MY:Standard,,,,,,"instrument, by",INSTRUMENT,final,AI
110,Costa,DJC2019,0002,mia,,miam1252,-akwi,MY:Standard,,,,,,clothing2,clothing,final,AI,,,,,,,,,,,,,,,,,,,,,,,,"yes defined as ""clothing2"""
111,Costa,DJC2019,0008,mia,,miam1252,-alanii-,MY:Standard,,,,,,tail (bird's),,medial
112,Costa,DJC2019,0007,mia,,miam1252,-alel(e) ,MY:Standard,,,,,,"rot, ferment","ferment, rot",final,AI
113,Costa,DJC2019,0007,mia,,miam1252,-alet ,MY:Standard,,,,,,"rot, ferment","ferment, rot",final,II
114,Costa,DJC2019,0001,mia,,miam1252,-alw,MY:Standard,,,,,,"arrow, bullet","arrow, bullet",final,N
115,Costa,DJC2019,0006,mia,,miam1252,-am,MY:Standard,,,,,,"mouth, by","mouth, MANNER",final,TA
116,Costa,DJC2019,0004,mia,,miam1252,-ameekw,MY:Standard,,,,,,fish,,final,N
117,Costa,DJC2019,0004,mia,,miam1252,-ameekwi,MY:Standard,,,,,,fish,,final,AI
118,Costa,DJC2019,0001,mia,,miam1252,-ankwan,MY:Standard,,,,,,ankle,ankle,final,AI
119,Costa,DJC2019,0002,mia,,miam1252,-anowee- ,MY:Standard,,,,,,cheek,cheek,final,AI,,,,,,,,,,,,,,,,,,,,,,,,has two dashes but listed as an AI final
120,Costa,DJC2019,0008,mia,,miam1252,-ansooy,MY:Standard,,,,,,tail (animal's),tail (animal),final,N
121,Costa,DJC2019,0006,mia,,miam1252,-antam,MY:Standard,,,,,,"mouth, by","mouth, MANNER",final,TI
122,Costa,DJC2019,0001,mia,,miam1252,-antee,MY:Standard,,,,,,"absent, gone","absent, gone",final,AI
123,Costa,DJC2019,0008,mia,,miam1252,-api,MY:Standard,,,,,,"sit, be at","be (at), sit",final,AI
124,Costa,DJC2019,0003,mia,,miam1252,-ate-,MY:Standard,,,,,,"cold, by",,medial
125,Costa,DJC2019,0003,mia,,miam1252,-aten,MY:Standard,,,,,,"cold, by","cold, MANNER",final,II
126,Costa,DJC2019,0005,mia,,miam1252,-aten,MY:Standard,,,,,,hill,hill,final,II
127,Costa,DJC2019,0004,mia,,miam1252,-awee,MY:Standard,,,,,,fur,fur,final,AI
128,Costa,DJC2019,0007,mia,,miam1252,-aweem,MY:Standard,,,,,,related to,related,final,TA
129,Costa,DJC2019,0007,mia,,miam1252,-aweentam,MY:Standard,,,,,,related to,related,final,TI
130,Costa,DJC2019,0008,mia,,miam1252,-ay,MY:Standard,,,,,,"skin, hide","hide (N), skin (N)",final,N
131,Costa,DJC2019,0008,mia,,miam1252,-e(h)tam,MY:Standard,,,,,,taste,taste,final,TI
132,Costa,DJC2019,0001,mia,,miam1252,-ec,MY:Standard,,,,,,"belly, body","belly, body",final,N
133,Costa,DJC2019,0001,mia,,miam1252,-ecii,MY:Standard,,,,,,"belly, body","belly, body",final,AI
134,Costa,DJC2019,0002,mia,,miam1252,-ecii,MY:Standard,,,,,,body,body,final,AI
135,Costa,DJC2019,0002,mia,,miam1252,-eek-,MY:Standard,,,,,,"cloth, sheet, hide",,medial
136,Costa,DJC2019,0002,mia,,miam1252,-eeki,MY:Standard,,,,,,"cloth, sheet, hide","cloth, hide (N), sheet",final,AI
137,Costa,DJC2019,0002,mia,,miam1252,-eekin,MY:Standard,,,,,,"cloth, sheet, hide","cloth, hide (N), sheet",final,TA
138,Costa,DJC2019,0002,mia,,miam1252,-eekin,MY:Standard,,,,,,"cloth, sheet, hide","cloth, hide (N), sheet",final,II
139,Costa,DJC2019,0002,mia,,miam1252,-eeli,MY:Standard,,,,,,"boat, by","boat, MANNER",final,AI
140,Costa,DJC2019,0003,mia,,miam1252,-eeli,MY:Standard,,,,,,dance2,dance,final,AI
141,Costa,DJC2019,0006,mia,,miam1252,-eeli,MY:Standard,,,,,,"mind, by","mind, MANNER",final,AI
142,Costa,DJC2019,0006,mia,,miam1252,-eelim,MY:Standard,,,,,,"mind, by","mind, MANNER",final,TA
143,Costa,DJC2019,0006,mia,,miam1252,-eelintam,MY:Standard,,,,,,"mind, by","mind, MANNER",final,TI
144,Costa,DJC2019,0006,mia,,miam1252,-eelisi,MY:Standard,,,,,,"mind, by","mind, MANNER",final,AI
145,Costa,DJC2019,0002,mia,,miam1252,-ehkaa,MY:Standard,,,,,,"body, by","body, MANNER",final,AI
146,Costa,DJC2019,0002,mia,,miam1252,-ehkam,MY:Standard,,,,,,"body, by","body, MANNER",final,TI
147,Costa,DJC2019,0002,mia,,miam1252,-ehkaw ,MY:Standard,,,,,,"body, by","body, MANNER",final,TA
148,Costa,DJC2019,0002,mia,,miam1252,-ehkawee,MY:Standard,,,,,,"body, by","body, MANNER",final,AI,,,,,,,,,,,,,,,,,,,,,,,,"Costa writes ""'path'?"""
149,Costa,DJC2019,0004,mia,,miam1252,-ehkii,MY:Standard,,,,,,"gather, make","gather, make",final,AI
150,Costa,DJC2019,0004,mia,,miam1252,-ehkwee,MY:Standard,,,,,,hair of the head,hair (head),final,AI
151,Costa,DJC2019,0003,mia,,miam1252,-ehšii,MY:Standard,,,,,,ear,ear,final,AI
152,Costa,DJC2019,0005,mia,,miam1252,-ehtam,MY:Standard,,,,,,hear,hear,final,TI
153,Costa,DJC2019,0005,mia,,miam1252,-ehtaw,MY:Standard,,,,,,hear,hear,final,TA
154,Costa,DJC2019,0003,mia,,miam1252,-ekaa,MY:Standard,,,,,,dance,,final,AI
155,Costa,DJC2019,0008,mia,,miam1252,-ekwaam,MY:Standard,,,,,,sleep,,final,AI
156,Costa,DJC2019,0002,mia,,miam1252,-elaan,MY:Standard,,,,,,calf (of leg),calf (leg),final,AI
157,Costa,DJC2019,0007,mia,,miam1252,-elaan,MY:Standard,,,,,,rain,rain (V),final,II
158,Costa,DJC2019,0004,mia,,miam1252,-en,MY:Standard,,,,,,"hand, by","hand, MANNER",final,TA
159,Costa,DJC2019,0004,mia,,miam1252,-enam,MY:Standard,,,,,,"hand, by","hand, MANNER",final,TI
160,Costa,DJC2019,0009,mia,,miam1252,-epii-,MY:Standard,,,,,,water,,medial
161,Costa,DJC2019,0005,mia,,miam1252,-esam,MY:Standard,,,,,,"heat, by","heat, MANNER",final,TI
162,Costa,DJC2019,0003,mia,,miam1252,-ešam,MY:Standard,,,,,,"cut, by knife","cut, INSTRUMENT",final,TI
163,Costa,DJC2019,0005,mia,,miam1252,-esi,MY:Standard,,,,,,"heat, by","heat, MANNER",final,AI
164,Costa,DJC2019,0003,mia,,miam1252,-ešiko,MY:Standard,,,,,,"cut, by knife","cut, INSTRUMENT",final,AI
165,Costa,DJC2019,0005,mia,,miam1252,-esw,MY:Standard,,,,,,"heat, by","heat, MANNER",final,TA
166,Costa,DJC2019,0003,mia,,miam1252,-ešw,MY:Standard,,,,,,"cut, by knife","cut, INSTRUMENT",final,TA
167,Costa,DJC2019,0005,mia,,miam1252,-etee,MY:Standard,,,,,,"heat, by","heat, MANNER",final,II
168,Costa,DJC2019,0006,mia,,miam1252,-eton,MY:Standard,,,,,,mouth ,mouth,final,AI
169,Costa,DJC2019,0007,mia,,miam1252,-i(h)kaašiko,MY:Standard,,,,,,"sew, work with thread","sew, thread (N)",final,AI
170,Costa,DJC2019,0007,mia,,miam1252,-i(h)kwaal,MY:Standard,,,,,,"sew, work with thread","sew, thread (N)",final,TA
171,Costa,DJC2019,0007,mia,,miam1252,-i(h)kwaatam,MY:Standard,,,,,,"sew, work with thread","sew, thread (N)",final,TI
172,Costa,DJC2019,0007,mia,,miam1252,-i(h)kwaatee,MY:Standard,,,,,,"sew, work with thread","sew, thread (N)",final,AI
173,Costa,DJC2019,0007,mia,,miam1252,-i(h)kwaatee,MY:Standard,,,,,,"sew, work with thread","sew, thread (N)",final,II
174,Costa,DJC2019,0004,mia,,miam1252,-i(h)teekwee,MY:Standard,,,,,,"gland of the neck, temple","gland, temple",final,AI
175,Costa,DJC2019,0002,mia,,miam1252,-i(h)too,MY:Standard,,,,,,cause,CAUSATIVE,final,TI
176,Costa,DJC2019,0007,mia,,miam1252,-iciihci,MY:Standard,,,,,,"sinew, muscle","muscle, sinew",final,AI
177,Costa,DJC2019,0008,mia,,miam1253,-icimee,MY:Standard,,,,,,swim,,final,AI
178,Costa,DJC2019,0002,mia,,miam1252,-ih(w),MY:Standard,,,,,,cause,CAUSATIVE,final,TA
179,Costa,DJC2019,0001,mia,,miam1252,-ihciwee,MY:Standard,,,,,,arm (upper),arm,final,AI
180,Costa,DJC2019,0001,mia,,miam1252,-ihciwee-,MY:Standard,,,,,,arm (upper),,medial
181,Costa,DJC2019,0005,mia,,miam1252,-ihk,MY:Standard,,,,,,"head, hair","hair, head",final,N
182,Costa,DJC2019,0007,mia,,miam1252,-ihkahkwan,MY:Standard,,,,,,shin,shin,final,AI
183,Costa,DJC2019,0007,mia,,miam1252,-ihkahkwan-,MY:Standard,,,,,,shin,,medial
184,Costa,DJC2019,0006,mia,,miam1252,-ihkan,MY:Standard,,,,,,leg,leg,final,N
185,Costa,DJC2019,0007,mia,,miam1252,-ihkanaw,MY:Standard,,,,,,"path, road","path, road",final,N
186,Costa,DJC2019,0007,mia,,miam1252,-ihkanawee,MY:Standard,,,,,,"path, road","path, road",final,AI
187,Costa,DJC2019,0007,mia,,miam1252,-ihkanawee,MY:Standard,,,,,,"path, road","path, road",final,II
188,Costa,DJC2019,0005,mia,,miam1252,-ihkiaakan,MY:Standard,,,,,,hat,hat,final,N
189,Costa,DJC2019,0008,mia,,miam1252,-ihkicee,MY:Standard,,,,,,tail (bird's),tail (bird),final,AI
