ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Contains component (enter)-A,Contains component (enter)-B,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done
24,Siebert & Seeber,FS_PS1983,0337,aaq,Penobscot,peno1243,-ikkαləsi,AB:1,,,,,,"feign, pretend","feign, pretend",final,AI,,,,,,,,,,,,,,,,,,,,,-əsi,,-ikkαl,,,,"No matching II, not freely productive.",,MAM
25,Siebert & Seeber,FS_PS1983,0336,aaq,Penobscot,peno1243,-itəhα-,AB:1,,,,,,mental process,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""seems to denote more of an emotional nuance [than -elə-]""",,MAM
26,Haas,MH1967a,0063,aaq,Penobscot,peno1243,-kisək-,AB:1,,,,*ki·šekwi,,"day, sky",,medial
27,Siebert & Seeber,FS_PS1983,0337,aaq,Penobscot,peno1243,-naw,AB:1,,,,,,see,,final,TA,,,,,,,,,,,,,,,,,,,-nαkʷəsi,-nαkʷat,,,,,,,,,MAM
28,Siebert & Seeber,FS_PS1983,0337,aaq,Penobscot,peno1243,-nαkʷat,AB:1,,,,,,"appear, seem","appear, look like, seem",final,II,,,,,-nαkʷəsi,,,,,,,,,,,,,,,,-naw,-at,-əkʷ-,,,,,,MAM
29,Siebert & Seeber,FS_PS1983,0337,aaq,Penobscot,peno1243,-nαkʷəsi,AB:1,,,,,,"appear, seem","appear, look like, seem",final,AI,,,,,,-nαkʷat,,,,,,,,,,,,,,,-naw,-əsi,-əkʷ-,,,,,,MAM
30,Siebert & Seeber,FS_PS1983,0335,aaq,Penobscot,peno1243,-taw-,AB:1,,,,,,NG,,final,TI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
31,Siebert & Seeber,FS_PS1983,0339,aaq,Penobscot,peno1243,-te,AB:1,,,,,,"inactive condition or state, middle reflexive","INACTIVE, MIDDLE",final,II,,,,,-əsi,,,,,,,,,,,,,,,,,,,,,,,,MAM
32,Siebert & Seeber,FS_PS1983,0340,aaq,Penobscot,peno1243,-wini,AB:1,,,,,,"habitually, by inborn or inherent trait","habitually, trait (inborn)",final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
33,Siebert & Seeber,FS_PS1983,0341,aaq,Penobscot,peno1243,-αhpəsk-,AB:1,,,,,,"rock, rounded object",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
34,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,-αki-,AB:1,,,,,,"bend, curve",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,MAM
35,Siebert & Seeber,FS_PS1983,0336,aaq,Penobscot,peno1243,-αkʷa-,AB:1,,,,,,cook,,medial ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
36,Siebert & Seeber,FS_PS1983,0336,aaq,Penobscot,peno1243,-αm-,AB:1,,,,,,"fine particles, sand",,medial,,,,,,,,,,,,,,,,,,,,-αməkwiha-,,,,,,,,,,MAM
37,Siebert & Seeber,FS_PS1983,0336,aaq,Penobscot,peno1243,-αməkwiha-,AB:1,,,,,,"storm, squall",,prefinal,,,,,,,,,,,,,,,,,,,,-αməkwihasi,,-am-,,-əkʷ-,-iha-,,,complex prefinal,,MAM
38,Siebert & Seeber,FS_PS1983,"0336, 337",aaq,Penobscot,peno1243,-αməkwihasi,AB:1,,,,,,"storm, squall, middle reflexive","squall, storm, MIDDLE, REFLEXIVE",final,II,,,,,,,,,,,,,,,,,,,,,-əsi,,-αməkwiha-,,,,MAM: combines with -əsi; I deduced the combination from examples. On p. 337 he writes as -αməkwihaso; I think this is an error.,,MAM
39,Siebert & Seeber,FS_PS1983,0341,aaq,Penobscot,peno1243,-αsi,AB:1,,,,,,"of purposeful action, middle reflexive",reflexive of useful action,final,II ,,,Y,TI,-αsi,,,,,,,,,,,,,,,,,,,,,,"MAM: ""classified as middle reflexives in Penobscot because of the derivational processes involved""",,MAM
40,Siebert & Seeber,FS_PS1983,0341,aaq,Penobscot,peno1243,-αsi,AB:1,,,,,,"of purposeful action, middle reflexive","purposeful, MIDDLE, REFLEXIVE",final,AI,,,Y,TI,,-αsi,,,,,,,,,,,,,,,,,,,,,"MAM: ""classified as middle reflexives in Penobscot because of the derivational processes involved""",,MAM
41,Siebert & Seeber,FS_PS1983,0335,aaq,Penobscot,peno1243,-αso,AB:1,,,,,,passive reflexive ,"PASSIVE, REFLEXIVE",final,II,,,Y,TI,-αso,,,,,,,,,,,,,,,,,,,,,,"MAM: S&S say base is TI2 but then say it has extended to other TI stems; given the other forms in this article, I think this might be an error for -αsi. And he gives -αsi on p. 341, defined as 'of purposeful action, passive reflexive [middle reflexive?]. I've entered them separately but suspect they are the same.",,MAM
42,Siebert & Seeber,FS_PS1983,0335,aaq,Penobscot,peno1243,-αso,AB:1,,,,,,passive reflexive ,"PASSIVE, REFLEXIVE",final,AI,,,,TI,,-αso,,,,,,,,,,,,,,,,,,,,,"MAM: S&S say base is TI2 but then say it has extended to other TI stems; given the other forms in this article, I think this might be an error for -αsi. And he gives -αsi on p. 341, defined as 'of purposeful action, passive reflexive [middle reflexive?]. I've entered them separately but suspect they are the same.",,MAM
43,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,aki-,AB:1,,,,,,count,count,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
44,Siebert & Seeber,FS_PS1983,0336,aaq,Penobscot,peno1243,akit-,AB:1,,,,,,NG,,final,II,,ABSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
45,Siebert & Seeber,FS_PS1983,0341,aaq,Penobscot,peno1243,apw-,AB:1,,,,,,"hot, warm","hot, warm",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
46,Siebert & Seeber,FS_PS1983,0339,aaq,Penobscot,peno1243,atəhs-,AB:1,,,,,,color,color,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
47,Siebert & Seeber,FS_PS1983,0341,aaq,Penobscot,peno1243,keht-,AB:1,,,,,,"beforehand, preceding in space or time",,initial,,,,,,,,,,kehtα-,,,,,,,,,,,,,,,,,,"MAM: kehtα- described as ""an extended form of the root /keht-/""",,MAM
48,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,kis-,AB:1,,,,,,"complete, finish","complete, finish",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
49,Siebert & Seeber,FS_PS1983,0339,aaq,Penobscot,peno1243,kα-,AB:1,,,,,,hide,hide,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
50,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,pətəkʷ-,AB:1,,,,,,round,round,initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
51,Siebert & Seeber,FS_PS1983,0338,aaq,Penobscot,peno1243,wi-,AB:1,,,,,,"call, name","call, name",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
