Component ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
283,Bloomfield,LB1927a,0206,sac,,mesk1242,-cin-,ME:1,,,,,,"fall, lie",,final
224,Bloomfield,LB1925a,0230,sac,,mesk1242,-ckacy-,ME:1,,,,,,claw,,medial
258,Bloomfield,LB1925a,0232,sac,,mesk1242,-eck-,ME:1,,,,,,NG,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LB: ""Here, again, -eck- appears by the side of -ehk- without any apparent rationale"""
258,Bloomfield,LB1927a,0193,sac,,mesk1242,-eck-,ME:1,,,,,,step,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LB: Used in verbs with double-object marker
122,Bloomfield,LB1925a,0223,sac,,mesk1242,-eckā-,ME:1,,,,,,go,,final
226,Bloomfield,LB1925a,0230,sac,,mesk1242,-egi,ME:1,,,,,,locative,,final
282,Bloomfield,LB1927a,0206,sac,,mesk1242,-egin-,ME:1,,,,,,dimension,,medial
216,Bloomfield,LB1925a,0229,sac,,mesk1242,-eguni,ME:1,,,,,,days,,final,N
258,Bloomfield,LB1925a,0225,sac,,mesk1242,-ehk-,ME:1,,,,,,"by foot, go",,final
258,Bloomfield,LB1927a,0193,sac,,mesk1242,-ehk-,ME:1,,,,,,step,,final
254,Bloomfield,LB1925a,0232,sac,,mesk1242,-emicy-,ME:1,,,,,,tree,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LB: ""non-initial elements"""
154,Bloomfield,LB1925a,0225,sac,,mesk1242,-en-,ME:1,,,,,,by hand,,final,TA
215,Bloomfield,LB1925a,0229,sac,,mesk1242,-esigä-,ME:1,,,,,,cook,,final
143,Bloomfield,LB1925a,0225,sac,,mesk1242,-etcä-,ME:1,,,,,,"belly, body",,medial
147,Bloomfield,LB1925a,0225,sac,,mesk1242,-etī-,ME:1,,,,,,reciprocal,,final
148,Bloomfield,LB1925a,0225,sac,,mesk1242,-etisu-,ME:1,,,,,,reflexive,,final
285,Bloomfield,LB1927a,0206,sac,,mesk1242,-etun-,ME:1,,,,,,mouth,,medial
211,Bloomfield,LB1925a,0229,sac,,mesk1242,-gāpā-,ME:1,,,,,,stand,,final
211,Bloomfield,LB1927a,0196,sac,,mesk1242,-gāpā-,ME:1,,,,,,stand,,final
227,Bloomfield,LB1925a,0230,sac,,mesk1242,-gy-,ME:1,,,,,,mother,,medial
212,Bloomfield,LB1925a,0229,sac,,mesk1242,-hpu-,ME:1,,,,,,eat,,final
128,Bloomfield,LB1925a,0224,sac,,mesk1242,-hpw-,ME:1,,,,,,"bite, eat",,final
262,Bloomfield,LB1927a,0192,sac,,mesk1242,-htō-,ME:1,,,,,,NG,,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LB says: ""Here belongs the unlimited class of verbs in -tō- and -htō- which are used with inanimate objects as mates of TA verbs, although their inflection is that of intransitive verbs."""
