ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
449,Day,GMD1995,XLI,abe,,west2630,-kaz,AB:3,,,,,,"claw, nail, hoof","claw, hoof, nail, DEPENDENT",initial
454,Day,GMD1995,XLI,abe,,west2630,-kezen,AB:3,,,,,,"shoe, moccasin","moccasin, shoe, DEPENDENT",initial
466,Day,GMD1995,XLII,abe,,west2630,-kôd,AB:3,,,,,,leg,"leg, DEPENDENT",initial
481,Day,GMD1995,XLII,abe,,west2630,-kwedegw,AB:3,,,,,,knee,"knee, DEPENDENT",initial,,,,,,,,,,-kedegw
488,Day,GMD1995,XLIII,abe,,west2630,-lagezi,AB:3,,,,,,"belly, abdomen","abdomen, belly, DEPENDENT",initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. -dolka
530,Day,GMD1995,XLIV,abe,,west2630,-logan,AB:3,,,,,,hip,"hip, DEPENDENT",initial
564,Day,GMD1995,XLVI,abe,,west2630,-mahom,AB:3,,,,,,grandfather,"grandfather, DEPENDENT",initial
613,Day,GMD1995,XLVIII,abe,,west2630,-messiz,AB:3,,,,,,elder sister,"sister (older), DEPENDENT",initial
641,Day,GMD1995,XLIX,abe,,west2630,-mosom,AB:3,,,,,,remote male ancestor,"ancestor (male), DEPENDENT",initial
721,Day,GMD1995,LII,abe,,west2630,-nijôn,AB:3,,,,,,child,"child, DEPENDENT",initial,,,,,,,,,,-ijôn
756,Day,GMD1995,LIV,abe,,west2630,-nôgskwa,AB:3,,,,,,girl,"girl, DEPENDENT",initial
843,Day,GMD1995,LVII,abe,,west2630,-ôjikw,AB:3,,,,,,"uncle, stepfather","stepfather, uncle, DEPENDENT",initial
787,Day,GMD1995,LV,abe,,west2630,-okem,AB:3,,,,,,"aunt (father's sister, mother's brother's wife)","aunt, DEPENDENT",initial
793,Day,GMD1995,LV,abe,,west2630,-olegwi,AB:3,,,,,,armpit,"armpit, DEPENDENT",initial
795,Day,GMD1995,LV,abe,,west2630,-olhaga,AB:3,,,,,,waist,"waist, DEPENDENT",initial
804,Day,GMD1995,LV,abe,,west2630,-oses,AB:3,,,,,,grandchild,"grandchild, DEPENDENT",initial
871,Day,GMD1995,LVIII,abe,,west2630,-ôwigan,AB:3,,,,,,"spine, backbone","backbone, spine, DEPENDENT",initial
878,Day,GMD1995,LVIII,abe,,west2630,-pan,AB:3,,,,,,lung,"lung, DEPENDENT",initial
882,Day,GMD1995,LVIII,abe,,west2630,-pedin,AB:3,,,,,,arm,"arm, DEPENDENT",initial
890,Day,GMD1995,LIX,abe,,west2630,-pigasen,AB:3,,,,,,a rib,"rib, DEPENDENT",initial
926,Day,GMD1995,LX,abe,,west2630,-sem,AB:3,,,,,,"daughter-in-law, son's wife","daughter-in-law, DEPENDENT",initial
941,Day,GMD1995,LXI,abe,,west2630,-sizegw,AB:3,,,,,,eye,"eye, DEPENDENT",initial
951,Day,GMD1995,LXI,abe,,west2630,-skwen,AB:3,,,,,,liver,"liver, DEPENDENT",initial
952,Day,GMD1995,LXI,abe,,west2630,"-sôboan, -sôboôn",AB:3,,,,,,eyelashes,"eyelash, DEPENDENT",initial
965,Day,GMD1995,LXII,abe,,west2630,-tôgan,AB:3,,,,,,Adam's apple,"Adam's apple, DEPENDENT",initial
1071,Day,GMD1995,LXVI,abe,,west2630,-zasiz,AB:3,,,,,,mother's brother,"uncle, DEPENDENT",initial
1081,Day,GMD1995,LXVI,abe,,west2630,-zegwes,AB:3,,,,,,mother-in-law,"mother-in-law, DEPENDENT",initial
1089,Day,GMD1995,LXVII,abe,,west2630,-zid,AB:3,,,,,,foot (of animal or person),"foot, DEPENDENT",initial
1092,Day,GMD1995,LXVII,abe,,west2630,-zihlos,AB:3,,,,,,father-in-law,"father-in-law, DEPENDENT",initial
1105,Day,GMD1995,LXVII,abe,,west2630,-zoskwigan,AB:3,,,,,,lower leg,"leg, DEPENDENT",initial
2,Day,GMD1995,XXIII,abe,,west2630,aaza-,AB:3,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,see ahaza-
3,Day,GMD1995,XXIII,abe,,west2630,abab-,AB:3,,,,,,NG,,initial,,,,,,,,,,,,,,,,,,,,,,,,,untranslated root known only in abaskweda
4,Day,GMD1995,XXIII,abe,,west2630,abag-,AB:3,,,,,,flat,flat,initial
5,Day,GMD1995,XXIII,abe,,west2630,abaz-,AB:3,,,,,,"wood, woody","wood, woody",initial
6,Day,GMD1995,XXIII,abe,,west2630,abi,AB:3,,,,,,"sit, repose, be in a place or state","in (a place), repose, sit, STATE",initial
7,Day,GMD1995,XXIII,abe,,west2630,abic-,AB:3,,,,,,"aside, to the side",aside,initial,,,,,,,,,,,,,,,,,,,,,,,,,"cf. mska-, pska-"
8,Day,GMD1995,XXIII,abe,,west2630,abit-,AB:3,,,,,,inhabit; invite,"inhabit, invite",initial
9,Day,GMD1995,XXIII,abe,,west2630,abon,AB:3,,,,,,a bed,bed,initial
10,Day,GMD1995,XXIII,abe,,west2630,abôn,AB:3,,,,,,bread,bread,initial
11,Day,GMD1995,XXIII,abe,,west2630,adag-,AB:3,,,,,,"dishonest, uncertain; unreliable","dishonest, uncertain, unreliable",initial
12,Day,GMD1995,XXIII,abe,,west2630,adal- ,AB:3,,,,,,where or when,"when, where",initial,,,,,,,,,,,,,,,,,,,,,,,,,cf. atal- 
13,Day,GMD1995,XXIII,abe,,west2630,adeb- ,AB:3,,,,,,"twisting, rolling; mouth-puckering","pucker, roll (V), twist",initial
14,Day,GMD1995,XXIII,abe,,west2630,adel- ,AB:3,,,,,,"barring, in front of, obstructing","bar (V), in (front), obstruct",initial
15,Day,GMD1995,XXIII,abe,,west2630,adia,AB:3,,,,,,dog,dog,initial,,,,,,,,,,,,,,,,,,,,,,,,,obsolescent
16,Day,GMD1995,XXIII,abe,,west2630,adow- ,AB:3,,,,,,together,together,initial
18,Day,GMD1995,XXIII,abe,,west2630,agaj- ,AB:3,,,,,,"shy, bashful, ashamed","ashamed, bashful, shy",initial
19,Day,GMD1995,XXIII,abe,,west2630,agaki-,AB:3,,,,,,teach,teach,initial
20,Day,GMD1995,XXIII,abe,,west2630,agask- ,AB:3,,,,,,groundhog,groundhog,initial
21,Day,GMD1995,XXIII,abe,,west2630,agebalam,AB:3,,,,,,bullfrog,bullfrog,initial
22,Day,GMD1995,XXIV,abe,,west2630,agi-,AB:3,,,,,,"count, read","count, read",initial
