Component ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
43,Day,GMD1995,XXIV,abe,,west2630,akokw,AB:3,,,,,,kettle,initial,,,,,,,,,,kokw
44,Day,GMD1995,XXIV,abe,,west2630,akw-,AB:3,,,,,,"stop, cease",initial
45,Day,GMD1995,XXIV,abe,,west2630,akw- ,AB:3,,,,,,"rough, bitter",initial
46,Day,GMD1995,XXV,abe,,west2630,akwôb-,AB:3,,,,,,"thus, so much, in such a time, amount, manner; according to, accordingly as",initial
47,Day,GMD1995,XXV,abe,,west2630,al-,AB:3,,,,,,"how, as, like, the way that, etc. ",initial
48,Day,GMD1995,XXV,abe,,west2630,alakws,AB:3,,,,,,star,initial
49,Day,GMD1995,XXV,abe,,west2630,alaskana,AB:3,,,,,,wolverine,initial
50,Day,GMD1995,XXV,abe,,west2630,ale-,AB:3,,,,,,"stagnant, still, dead",initial
51,Day,GMD1995,XXV,abe,,west2630,alem-,AB:3,,,,,,"continuing, going farther",initial
52,Day,GMD1995,XXV,abe,,west2630,alhla,AB:3,,,,,,female of deer family,initial
53,Day,GMD1995,XXV,abe,,west2630,alkô,AB:3,,,,,,decay,initial
54,Day,GMD1995,XXV,abe,,west2630,aln-,AB:3,,,,,,"common, usual, ordinary (also native as opposed to European or White)",initial
55,Day,GMD1995,XXV,abe,,west2630,alnaka- ,AB:3,,,,,,on the right side or direction (opposite of left),initial
56,Day,GMD1995,XXV,abe,,west2630,aloka,AB:3,,,,,,work,initial
57,Day,GMD1995,XXV,abe,,west2630,alosa,AB:3,,,,,,go (especially on foot),initial
58,Day,GMD1995,XXV,abe,,west2630,alôm-,AB:3,,,,,,"inside, under (with reference to water)",initial
59,Day,GMD1995,XXV,abe,,west2630,als,AB:3,,,,,,shellfish,initial
60,Day,GMD1995,XXV,abe,,west2630,alzi,AB:3,,,,,,water weed,initial
61,Day,GMD1995,XXV,abe,,west2630,amalki,AB:3,,,,,,"step, step on, tread",initial
62,Day,GMD1995,XXV,abe,,west2630,amals-,AB:3,,,,,,"be in a certain state of health, be feeling physically",initial
63,Day,GMD1995,XXV,abe,,west2630,amisk-,AB:3,,,,,,beaver,initial
64,Day,GMD1995,XXV,abe,,west2630,amiz,AB:3,,,,,,pet (commonly one's dog),initial
65,Day,GMD1995,XXV,abe,,west2630,amkwôn,AB:3,,,,,,spoon,initial
66,Day,GMD1995,XXV,abe,,west2630,anabi,AB:3,,,,,,coat,initial
67,Day,GMD1995,XXV,abe,,west2630,anak-,AB:3,,,,,,"spread on ground, cover ground",initial
68,Day,GMD1995,XXV,abe,,west2630,anawi-,AB:3,,,,,,"correct, repaired, in original condition",initial
69,Day,GMD1995,XXV,abe,,west2630,an-,AB:3,,,,,,forget,initial,,,,,,,,,,,,,,,,,,,,,,,,,from wan
70,Day,GMD1995,XXVI,abe,,west2630,anibi-,AB:3,,,,,,American elm,initial
71,Day,GMD1995,XXVI,abe,,west2630,anig-,AB:3,,,,,,"grow up, become covered with plant growth",initial
72,Day,GMD1995,XXVI,abe,,west2630,-anowa,AB:3,,,,,,cheek,initial
73,Day,GMD1995,XXVI,abe,,west2630,aodi-,AB:3,,,,,,"fight as in a battle, make war",initial,,,,,,,,,,awdi
74,Day,GMD1995,XXVI,abe,,west2630,aos-,AB:3,,,,,,changing position,initial,,,,,,,,,,,,,,,,,,,,,,,,,see awes- and aws-
75,Day,GMD1995,XXVI,abe,,west2630,apc-,AB:3,,,,,,"against, opposed, facing",initial,,,,,,,,,,,,,,,,,,,,,,,,,see apt-
76,Day,GMD1995,XXVI,abe,,west2630,apen,AB:3,,,,,,ground nut,initial,,,,,,,,,,pen
77,Day,GMD1995,XXVI,abe,,west2630,apetaw-,AB:3,,,,,,"up in the air, off the ground",initial
78,Day,GMD1995,XXVI,abe,,west2630,apihan,AB:3,,,,,,"cord, rope",initial,,,,,,,,,,pian and pihan
79,Day,GMD1995,XXVI,abe,,west2630,apikôn,AB:3,,,,,,"string, cord",initial,,,,,,,,,,pikôn
80,Day,GMD1995,XXVI,abe,,west2630,apkw-,AB:3,,,,,,cover,initial
81,Day,GMD1995,XXVI,abe,,west2630,apt-,AB:3,,,,,,"against, apposed, facing",initial,,,,,,,,,,apc-
82,Day,GMD1995,XXVI,abe,,west2630,asen,AB:3,,,,,,"stone, rock",initial,,,,,,,,,,sen
83,Day,GMD1995,XXVI,abe,,west2630,askami-,AB:3,,,,,,"always (in the future), forever",initial
84,Day,GMD1995,XXVI,abe,,west2630,askan,AB:3,,,,,,"horn, antler",initial
85,Day,GMD1995,XXVI,abe,,west2630,askaskw-,AB:3,,,,,,green,initial
86,Day,GMD1995,XXVI,abe,,west2630,asokw,AB:3,,,,,,"cloud, sky",initial
87,Day,GMD1995,XXVI,abe,,west2630,asow-,AB:3,,,,,,cover,initial
