ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
26,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-ǝko·y-,,,,cow,,medial,,,,,,,,,,,,,,nataw-ǝko·y-e·-,V,AI,look for cows,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
11,Goddard,IG1990a,0461,umu,,muns1251,,D-M:1,,-ǝla·n,,,,rain,,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
3,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,-ǝn-,,,,"act on, render (thus) by hand",,final,TI1b,,,,,,,,,,,,,wihka·t-ǝn-,V,TI1b,braid it,,IG1990a;0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
39,Goddard,IG1990a,0467,umu,,muns1251,,D-M:1,,-ǝnaxk-,,,,arm,,medial,,,,,,,,,,-i·naxke·-,,,,e·š-ǝnaxk-e·-,V,AI,stick (one's own) arm through,,IG1990a;0467,,,kwakwa·n-ǝnaxk-a·-,V,AI,have long arms,,IG1990a;0467,,,kǝt-i·naxke·-xi·n,V,AI,(one's arm) be sticking out,,IG1990a;0467,,,,,,,,,,,,,,,,MAM
46,Goddard,IG1990a,0469,umu,,muns1251,,D-M:1,,-ǝs-,,,,act on by heat,,final,TI1b,,,,,,,,,,,,,nǝsǝk-ǝs-,V,TI1b,dye it black,,IG1990a;0469,,,,,,,,,,,,,,,,,,,,,,,,,"-ǝčas- TI1b final 'burn, heat'",,,,,,,MAM
18,Goddard,IG1990a,0462,umu,,muns1251,,D-M:1,,-ǝsi·-,,,,NG,,final,AI,,,,,,-at-,,,,,,,kwǝnahkw-ǝsi·-,V,AI,be tall,,IG1990a;0462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
33,Goddard,IG1990a,0464,umu,,muns1251,,D-M:1,,-i·-lǝnǝw-,,,,man,,final,N,,,,,,,,,,,,,wǝsk-i·-lǝnǝw-,N,,young man,,IG1990a;0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,|ǝlǝnǝw-| lə́nəw 'man',,,MAM
47,Goddard,IG1990a,0473,umu,,muns1251,,D-M:1,,-i·kan,,,,NG,,final,N,,,Y,TI1b,,,,,,,,,paxkǝš-i·kan,N,,knife,,IG1990a;0473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
13,Goddard,IG1990a,0461,umu,,muns1251,,D-M:1,,-i·ma·kwǝsi·-,,,,smell,,final,AI,,,,,,,,,,,,,mǎči·má·kwǝsi·-,V,AI,smell bad,,IG1990a;0461,ška·kwsi·má·kwǝsi·-,,,V,AI,smell of skunk,,IG1990a;0461,,,,,,,,,,,,,,,,,,,,,,,,MAM
6,Goddard,IG1990a,0456,umu,,muns1251,,D-M:1,,-i·ne·-,,,,"be diseased, afflicted",,final,AI,,,,,,,,,,,,,wa·wi·kan-i·ne·-,V,AI,have a backache,,IG1990a;0456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
