ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1,Valentine,RV2002,0090,,,,-gam-,OJ:3,,,,,,liquid,"liquid, water",medial,,,,,,,,,,,,,,,,,,,,,,,,,White Dog
2,Valentine,RV2002,0114,,,,-gondaagan-,OJ:3,,,,,,throat,throat,medial
3,Valentine,RV2002,0090,,,,-shkiinzhigw-,OJ:3,,,,,,eye,eye,medial,,,,,,,,,,,,,,,,,,,,,,,,,Lake Nipigon
4,Valentine,RV2002,0089,,,,agaas-,OJ:3,,,,,,small,small,initial,,,,,,,,,,,,,,,,,,,,,,,,,White Dog and Lake Nipigon
5,Valentine,RV2002,0089,,,,mashkaw-,OJ:3,,,,,,"solid, hard","hard, solid",initial,,,,,,,,,,,,,,,,,,,,,,,,,Lake Nipigon
