ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
1,Goddard,IG1965,0213,,,aben1250,ôben-,AB:2,,,,*a·p-,,untie,untie,initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Looks like an initial, but is listed as ""(TA, TI)""",,MAM
2,Goddard,IG1965,0214,,,aben1250,ôjemi-,AB:2,,,,*a·t-,,"relate, declare","relate, declare",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
3,Goddard,IG1965,0214,,,aben1250,ôtl-,AB:2,,,,*a·nt-,,"move, change, afresh, anew","move, change, afresh, anew",initial,,,,,,,,,,,,,,,,,,,,,,,,,"GVM: Looks like an initial, but is listed as ""(TA, TI)"". MAM: this is a PA initial, so I don't know why it would say that.",,MAM
5,Goddard,IG1965,0215,,,aben1250,-gan̈ba8i,AB:2,,,,*-ka·pawi-,,"stand, be standing",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
6,Goddard,IG1965,0219,,,aben1250,-igan̈n,AB:2,,,,,,NG,,final,N,,,,,,,,,,,,,,,,,,,,,,,,"GVM: From context, probably N final? Says ""for -igan read -igan̈n"".",,MAM
